query_id,r1_precision@5,r1_precision@10,r1_precision@15,r2_precision@5,r2_precision@10,r2_precision@15
1,0.2,0.1,0.06666666666666667,0.2,0.3,0.26666666666666666
3,0.2,0.1,0.06666666666666667,0.4,0.2,0.2
5,0.2,0.1,0.06666666666666667,0.4,0.5,0.4
7,0.2,0.1,0.06666666666666667,0.2,0.1,0.13333333333333333
8,0.6,0.3,0.2,0.4,0.2,0.2
9,0.4,0.3,0.26666666666666666,0.4,0.5,0.4
10,0.2,0.1,0.13333333333333333,0.0,0.0,0.06666666666666667
12,0.2,0.1,0.06666666666666667,0.2,0.1,0.06666666666666667
13,0.4,0.2,0.2,0.6,0.4,0.3333333333333333
14,0.2,0.2,0.2,0.2,0.2,0.26666666666666666
15,0.0,0.3,0.26666666666666666,0.2,0.1,0.2
