english,non_english
"In the name of Allah, the Beneficent, the Merciful.","Dengan nama Allah Yang Maha Pengasih, Maha Penyayang."
"Praise be to Allah, Lord of the Worlds,","Segala puji bagi Allah, Tuhan seluruh alam,"
"The Beneficent, the Merciful.","Yang Maha Pengasih, Maha Penyayang,"
"Owner of the Day of Judgment,",Pemilik hari pembalasan.
Thee (alone) we worship; Thee (alone) we ask for help,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami mohon pertolongan.
"Show us the straight path,","Tunjukilah kami jalan yang lurus,"
The path of those whom Thou hast favoured; Not the (path) of those who earn Thine anger nor of those who go astray.,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat kepadanya; bukan (jalan) mereka yang dimurkai, dan bukan (pula jalan) mereka yang sesat."
Alif. Lam. Mim.,Alif Lam Mim.
"This is the Scripture whereof there is no doubt, a guidance unto those who ward off (evil).","Kitab (Al-Qur'an) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,"
"Who believe in the Unseen, and establish worship, and spend of that We have bestowed upon them;","(yaitu) mereka yang beriman kepada yang gaib, melaksanakan salat, dan menginfakkan sebagian rezeki yang Kami berikan kepada mereka,"
"And who believe in that which is revealed unto thee (Muhammad) and that which was revealed before thee, and are certain of the Hereafter.","dan mereka yang beriman kepada (Al-Qur'an) yang diturunkan kepadamu (Muhammad) dan (kitab-kitab) yang telah diturunkan sebelum engkau, dan mereka yakin akan adanya akhirat."
These depend on guidance from their Lord. These are the successful.,"Merekalah yang mendapat petunjuk dari Tuhannya, dan mereka itulah orang-orang yang beruntung."
"As for the Disbelievers, Whether thou warn them or thou warn them not it is all one for them; they believe not.","Sesungguhnya orang-orang kafir, sama saja bagi mereka, engkau (Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman."
"Allah hath sealed their hearing and their hearts, and on their eyes there is a covering. Theirs will be an awful doom.","Allah telah mengunci hati dan pendengaran mereka, penglihatan mereka telah tertutup, dan mereka akan mendapat azab yang berat."
"And of mankind are some who say: We believe in Allah and the Last Day, when they believe not.","Dan di antara manusia ada yang berkata, “Kami beriman kepada Allah dan hari akhir,” padahal sesungguhnya mereka itu bukanlah orang-orang yang beriman."
"They think to beguile Allah and those who believe, and they beguile none save themselves; but they perceive not.","Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari."
"In their hearts is a disease, and Allah increaseth their disease. A painful doom is theirs because they lie.","Dalam hati mereka ada penyakit, lalu Allah menambah penyakitnya itu; dan mereka mendapat azab yang pedih, karena mereka berdusta."
"And when it is said unto them: Make not mischief in the earth, they say: We are peacemakers only.","Dan apabila dikatakan kepada mereka, “Janganlah berbuat kerusakan di bumi!” Mereka menjawab, “Sesungguhnya kami justru orang-orang yang melakukan perbaikan.”"
Are not they indeed the mischief-makers ? But they perceive not. .,"Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari."
