q_id|q_src_id|quetion_type|chapter_no|verse|answer_en|class_en|fine_class_en|ontology_concept2_en|ontology_concept_en|q_topic_en|q_word_en|question_en|chapter_name_en|verse_list|context|context_data|answer_en_id|class_en_id|fine_class_en_id|ontology_concept2_en_id
1|1|F|2|1,2|This is the Book of Allah (the Quran). The evidence: 'This is the Book; there is no doubt in it, a guidance for the righteous.' (Al-Baqarah 2:1-2)|Entity|Holy Book|The Noble Quran|The Quran|The book|Not|What is the only book that is free from any doubt or disbelief?|The Cow|[1 2]|"Quran Surah 2 Ayah 1:
Alif, Lam, Mim. (Only Allah And The Messenger [Blessings And Peace Be Upon Him] Know The Real Meaning.)

Quran Surah 2 Ayah 2:
(This Is) The Glorious Book In Which There Is No Chance Of Doubt. (It Is) A Guide For Those Who Guard Against Evil And Fear Allah:"|"[{""index"": 0, ""q_src_id"": 1, ""surah"": 2, ""ayah"": 1, ""ayah_en"": ""Alif, Lam, Mim. (Only Allah And The Messenger [Blessings And Peace Be Upon Him] Know The Real Meaning.)""}, {""index"": 0, ""q_src_id"": 1, ""surah"": 2, ""ayah"": 2, ""ayah_en"": ""(This Is) The Glorious Book In Which There Is No Chance Of Doubt. (It Is) A Guide For Those Who Guard Against Evil And Fear Allah:""}]"|(Kitab ini) yakni yang dibaca oleh Muhammad saw. (adalah ayat-ayat Allah) menjadi Khabar dari Mubtada (yang dijelaskan ayat-ayatnya) maksudnya, dijelaskan di dalamnya hukum-hukum, kisah-kisah dan nasihat-nasihat (tidak ada keraguan) atau keragu-raguan (di dalamnya) tidak ada keragu-raguan (menjadi petunjuk) dari kesesatan (bagi orang-orang yang bertakwa) kepada Allah dengan menjalankan perintah-Nya dan menjauhi larangan-Nya.|Entitas|Buku Kudus|Al-Qur'ân yang sangat mulia.
2|2|F|2|25|Yes, and the evidence: 'And give good news to those who believe and do righteous deeds that they will have gardens [in which] rivers flow. Whenever they are given fruit there as provision, they will say,|My Report|Yes-No|Her Qualities|Fruits of Paradise|Fruit of Paradise|Are|Are the fruits of paradise similar to the fruits of this world?|The Cow|[25]|"Quran Surah 2 Ayah 25:
And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): ‘This Is The Same Fruit That Was Provided To Us (In The World) Before,’ Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever."|"[{""index"": 1, ""q_src_id"": 2, ""surah"": 2, ""ayah"": 25, ""ayah_en"": ""And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): \u2018This Is The Same Fruit That Was Provided To Us (In The World) Before,\u2019 Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever.""}]"|"(Dan sampaikanlah berita gembira) kabarkanlah (kepada orang-orang yang beriman) yang membenarkan Allah (dan mengerjakan kebaikan), baik yang fardu atau yang sunah (bahwa bagi mereka disediakan surga-surga), yaitu taman-taman yang ada pepohonan dan tempat-tempat kediaman (yang mengalir di bawahnya) maksudnya di bawah kayu-kayuan dan mahligai-mahligainya (sungai-sungai) maksudnya air yang berada di sungai-sungai itu, karena sungai artinya ialah galian tempat mengalirnya air, sebab airlah yang telah menggali atau menjadikannya 'nahr' dan menisbatkan 'mengalir' pada selokan disebut 'majaz' atau simbolisme. (Setiap mereka diberi rezeki di dalam surga itu) maksudnya diberi makanan (berupa buah-buahan, mereka berkata, ""Inilah yang pernah) maksudnya seperti inilah yang pernah (diberikan kepada kami."")"|Laporanku|Ya-Tidak|Sifat - Sifatnya
3|3|F|2|28|And you were dead, and He gave you life, then He will cause you to die, then He will bring you to life again, then you will be returned to Him.|Number|Number|Man And His Nature|Death|Death and life|How Much|How many deaths and how many lives do humans have?|The Cow|[28]|"Quran Surah 2 Ayah 28:
How Can You Deny Allah, Whereas You Were Lifeless And He Gave You Life, Then He Will Cause You To Die And Will Again Bring You Back To Life, And Then To Him You Will Be Returned?"|"[{""index"": 2, ""q_src_id"": 3, ""surah"": 2, ""ayah"": 28, ""ayah_en"": ""How Can You Deny Allah, Whereas You Were Lifeless And He Gave You Life, Then He Will Cause You To Die And Will Again Bring You Back To Life, And Then To Him You Will Be Returned?""}]"|Setelah itu, Dia menghidupkan kalian lagi untuk hisab dan pemberian siksa kubur. Dan, hanya kepada-Nyalah--bukan kepada yang lain--kalian akan berpulang, agar Dia melakukan hisab dan memberikan ganjaran atas perbuatan kalian.|Nomor|Nomor|Manusia dan Alamnya
4|4|F|2|29|He it is Who created for you all that is in the earth. Then He directed Himself to the heaven, and fashioned it as seven heavens. And He is Knower of all things.|Number|Number|Facts In The Universe|The heavens|heavens|No|How many heavens are there?|The Cow|[29]|"Quran Surah 2 Ayah 29:
He Is The One Who Created For You All That Is In The Earth. Then He Turned Towards The Higher Regions (Of The Universe) And Perfected Them Into Seven Heavenly Firmaments. And He Has Full Knowledge Of Everything."|"[{""index"": 3, ""q_src_id"": 4, ""surah"": 2, ""ayah"": 29, ""ayah_en"": ""He Is The One Who Created For You All That Is In The Earth. Then He Turned Towards The Higher Regions (Of The Universe) And Perfected Them Into Seven Heavenly Firmaments. And He Has Full Knowledge Of Everything.""}]"|"(Dialah yang telah menciptakan bagimu segala yang terdapat di muka bumi) yaitu menciptakan bumi beserta isinya, (kesemuanya) agar kamu memperoleh manfaat dan mengambil perbandingan darinya, (kemudian Dia hendak menyengaja hendak menciptakan) artinya setelah menciptakan bumi tadi Dia bermaksud hendak menciptakan pula (langit, maka dijadikan-Nya langit itu) 'hunna' sebagai kata ganti benda yang dimaksud adalah langit itu. Maksudnya ialah dijadikan-Nya, sebagaimana didapati pada ayat yang lain, 'faqadhaahunna,' yang berarti maka ditetapkan-Nya mereka, (tujuh langit dan Dia Maha Mengetahui atas segala sesuatu) dikemukakan secara 'mujmal' ringkas atau secara mufasshal terinci, maksudnya, ""Tidakkah Allah yang mampu menciptakan semua itu dari mula pertama, padahal Dia lebih besar dan lebih hebat daripada kamu, akan mampu pula menghidupkan kamu kembali?"""|Nomor|Nomor|Fakta - Fakta di Alam Semesta
5|5|D|2|31|He taught Adam the names of all things, then He showed them to the angels and said, 'Inform me of the names of these, if you are truthful' (2:31)|Entity|Term|I Know|Names|Nouns|What|What did Adam (peace be upon him) learn from Allah (glorified and exalted be He), which was not known to the angels?|The Cow|[31]|"Quran Surah 2 Ayah 31:
And Allah Taught Adam The Names Of All (Things), And Then Presented Them Before The Angels And Said: ‘Tell Me The Names Of These Things If You Are True (In Your Assumption).’"|"[{""index"": 4, ""q_src_id"": 5, ""surah"": 2, ""ayah"": 31, ""ayah_en"": ""And Allah Taught Adam The Names Of All (Things), And Then Presented Them Before The Angels And Said: \u2018Tell Me The Names Of These Things If You Are True (In Your Assumption).\u2019""}]"|"(Dan diajarkan-Nya kepada Adam nama-nama) maksudnya nama-nama benda (kesemuanya) dengan jalan memasukkan ke dalam kalbunya pengetahuan tentang benda-benda itu (kemudian dikemukakan-Nya mereka) maksudnya benda-benda tadi yang ternyata bukan saja benda-benda mati, tetapi juga makhluk-makhluk berakal, (kepada para malaikat, lalu Allah berfirman) untuk memojokkan mereka, (""Beritahukanlah kepadaku) sebutkanlah (nama-nama mereka) yakni nama-nama benda itu (jika kamu memang benar."") bahwa tidak ada yang lebih tahu daripada kamu di antara makhluk-makhluk yang Kuciptakan atau bahwa kamulah yang lebih berhak untuk menjadi khalifah. Sebagai 'jawab syarat' ditunjukkan oleh kalimat sebelumnya."|Entitas|Masa|Aku tahu
6|6|F|2|25|The wives of the believers will be in Paradise, never experiencing menstruation. The evidence for this is: 'And give good news to those who believe and do righteous deeds that they will have gardens [in Paradise] beneath which rivers flow. Whenever they are provided with a fruit from it as provision, they will say,|Wise|People|God Does Not Intend For Them|Women in Paradise|Couples|From|Who are the purified wives?|The Cow|[25]|"Quran Surah 2 Ayah 25:
And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): ‘This Is The Same Fruit That Was Provided To Us (In The World) Before,’ Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever."|"[{""index"": 5, ""q_src_id"": 6, ""surah"": 2, ""ayah"": 25, ""ayah_en"": ""And, (O Beloved Prophet,) Give Glad Tidings To Those Who Believe And Keep Doing Pious Deeds That For Them There Are Gardens (Of Paradise) Beneath Which Streams Flow. When Some Fruit Will Be Given To Them From These Gardens To Eat, They Will Say (Looking At Its Appearance): \u2018This Is The Same Fruit That Was Provided To Us (In The World) Before,\u2019 Whereas They Will Be Given Fruits Resembling (Only In Appearance). In Paradise, There Will (Also) Be Chaste Spouses For Them, And They Shall Abide There For Ever.""}]"|"Dan isteri-isteri orang mukmin berada di dalam surga, mereka tidak dapat (dibanding dengan) isteri-isteri mereka itu, dan (dengan orang-orang yang beriman itu) dalam keadaan serupa. Dan berilah kabar gembira kepada orang-orang yang beriman dan mengerjakan amal saleh bahwa bagi mereka disediakan surga yang mengalir sungai-sungai di bawahnya, setiap kali mereka diberi rezeki buah-buahan dari padanya, mereka berkata: ""Salaamun 'alaikum."""|Wise|Orang|Allah Tidak Melibatkan Mereka
7|7|F|2|34|And when We said to the angels, 'Bow down to Adam,' they bowed down, except for Iblis, who refused and was arrogant. He was one of the disbelievers.|Wise|Genie|Arrogance|Iblis|Satan|From|Who refused Allah's command to prostrate to Adam (peace be upon him)?|The Cow|[34]|"Quran Surah 2 Ayah 34:
And (Also Recall) When We Commanded The Angels: ‘Prostrate Yourselves Before Adam.’ Then They All Prostrated Themselves To Adam Except Iblis (Satan). He Refused And Showed Arrogance, And (Consequently) Became One Of The Disbelievers."|"[{""index"": 6, ""q_src_id"": 7, ""surah"": 2, ""ayah"": 34, ""ayah_en"": ""And (Also Recall) When We Commanded The Angels: \u2018Prostrate Yourselves Before Adam.\u2019 Then They All Prostrated Themselves To Adam Except Iblis (Satan). He Refused And Showed Arrogance, And (Consequently) Became One Of The Disbelievers.""}]"|"Dan (ingatlah) ketika Kami berfirman kepada para malaikat: ""Sujudlah kamu kepada Adam,"" maka sujudlah mereka kecuali Iblis; ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir."|Wise|Jin|Arogansi
8|8|F|1|1,2,3,4,5,6,7|In the name of Allah, the Entirely Merciful, the Especially Merciful. [1] All praise is due to Allah, Lord of the worlds. [2] The Entirely Merciful, the Especially Merciful. [3] Sovereign of the Day of Recompense. [4] You alone we worship, and You alone we ask for help. [5] Guide us to the straight path. [6] The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray. [7] The Fatiha.|Entity|Sura|Name Of The Surah|The Opening|The Seventy-One|No|What are the Seven Sleepers?|The Opening|[1 2 3 4 5 6 7]|"Quran Surah 1 Ayah 1:
All Praise Be To Allah Alone, The Sustainer Of All The Worlds,

Quran Surah 1 Ayah 2:
Most Compassionate, Ever-Merciful,

Quran Surah 1 Ayah 3:
Master Of The Day Of Judgment.

Quran Surah 1 Ayah 4:
(O Allah!) You Alone Do We Worship And To You Alone Do We Look For Help.

Quran Surah 1 Ayah 5:
Show Us The Straight Path,

Quran Surah 1 Ayah 6:
The Path Of Those Upon Whom You Have Bestowed Your Favours,

Quran Surah 1 Ayah 7:
Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray."|"[{""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 1, ""ayah_en"": ""All Praise Be To Allah Alone, The Sustainer Of All The Worlds,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 2, ""ayah_en"": ""Most Compassionate, Ever-Merciful,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 3, ""ayah_en"": ""Master Of The Day Of Judgment.""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 4, ""ayah_en"": ""(O Allah!) You Alone Do We Worship And To You Alone Do We Look For Help.""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 5, ""ayah_en"": ""Show Us The Straight Path,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 6, ""ayah_en"": ""The Path Of Those Upon Whom You Have Bestowed Your Favours,""}, {""index"": 7, ""q_src_id"": 8, ""surah"": 1, ""ayah"": 7, ""ayah_en"": ""Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray.""}]"|(Segala puji bagi Allah Yang Maha Pemurah) yakni Allah swt. (Raja Yang Maha Pemurah) yakni Allah swt. (Yang kami sembah) yakni Allah swt. (dan Engkau beri petunjuk kepada jalan yang lurus) yaitu jalan agama Islam (Engkau beri petunjuk kepada siapa yang Engkau kehendaki dan tidak pula memberi petunjuk kepada orang-orang yang sesat).|Entitas|Sura|Nama Surah
9|9|F|1|7|Cursed are the Jews and the misguided are the Christians|Rational|People||The Jews and Christians|Those who are angry with|From|Who are the 'those upon whom is the anger [of Allah]' and who are the 'those who are astray'?|The Opening|[7]|"Quran Surah 1 Ayah 7:
Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray."|"[{""index"": 8, ""q_src_id"": 9, ""surah"": 1, ""ayah"": 7, ""ayah_en"": ""Not Of Those Who Have Been Afflicted With Wrath, Nor Of Those Who Have Gone Astray.""}]"|(Telah dilaknat orang-orang Yahudi dan orang-orang yang sesat) yaitu orang-orang musyrik (mereka itu orang-orang Nasrani) orang-orang yang menyimpang dari jalan petunjuk.|Rasional|Orang|- Ya.
10|10|F|2|35|And We said, 'O Adam, dwell you and your wife in the Paradise and eat from it a plentifully wherever you wish, but do not approach this tree, lest you be among the wrongdoers.' (2:35)|Site|A Place In The Afterlife||Paradise|Dwell|What|When Allah, the Exalted, created Adam and Eve, what was their dwelling?|The Cow|[35]|"Quran Surah 2 Ayah 35:
And We Ordained: ‘O Adam, Reside You And Your Wife In This Paradise And Eat Of It, Both Of You, Whatever You Like And From Wherever You Will. But Do Not Go Near This Tree Lest You Should (Join) The Transgressors.’"|"[{""index"": 9, ""q_src_id"": 10, ""surah"": 2, ""ayah"": 35, ""ayah_en"": ""And We Ordained: \u2018O Adam, Reside You And Your Wife In This Paradise And Eat Of It, Both Of You, Whatever You Like And From Wherever You Will. But Do Not Go Near This Tree Lest You Should (Join) The Transgressors.\u2019""}]"|"(Dan Kami berfirman, ""Hai Adam! Berdiamlah kamu) yakni kamu sendiri 'kamu' yang kedua berfungsi sebagai penguat bagi yang pertama dan dihubungkan dengannya yang ditampilkan sebagai dhamir atau kata ganti yang tersembunyi (bersama istrimu) yakni Hawa yang diciptakan dari tulang rusuk Adam yang sebelah kiri (dalam surga ini dan makanlah di antara makanan-makanannya) (yang banyak) dan tidak dilarang (di mana saja kamu sukai, tetapi janganlah kamu dekati pohon ini) pohon anggur atau batang gandum ini atau lain-lainnya, maksudnya jangan memakan buahnya (hingga kamu menjadi orang-orang yang lalim."") atau durhaka."|Situs|Tempat di Alam Baka|- Ya.
