|question_en|answer_en|question_id|answer_id
0|What is the only book that is free from any doubt or disbelief?|This is the Book of Allah (the Quran). The evidence: 'This is the Book; there is no doubt in it, a guidance for the righteous.' (Al-Baqarah 2:1-2)|Apa satu - satunya buku yang bebas dari keraguan atau kekafiran?|(Kitab ini) yakni yang dibaca oleh Muhammad saw. (adalah ayat-ayat Allah) menjadi Khabar dari Mubtada (yang dijelaskan ayat-ayatnya) maksudnya, dijelaskan di dalamnya hukum-hukum, kisah-kisah dan nasihat-nasihat (tidak ada keraguan) atau keragu-raguan (di dalamnya) tidak ada keragu-raguan (menjadi petunjuk) dari kesesatan (bagi orang-orang yang bertakwa) kepada Allah dengan menjalankan perintah-Nya dan menjauhi larangan-Nya.
1|Are the fruits of paradise similar to the fruits of this world?|Yes, and the evidence: 'And give good news to those who believe and do righteous deeds that they will have gardens [in which] rivers flow. Whenever they are given fruit there as provision, they will say,|(Apakah buah-buahan di surga) maksudnya, buah-buahan di surga (sama dengan buah-buahan di dunia?) sebagaimana buah-buahan di dunia yang telah disebutkan tadi.|"(Dan sampaikanlah berita gembira) kabarkanlah (kepada orang-orang yang beriman) yang membenarkan Allah (dan mengerjakan kebaikan), baik yang fardu atau yang sunah (bahwa bagi mereka disediakan surga-surga), yaitu taman-taman yang ada pepohonan dan tempat-tempat kediaman (yang mengalir di bawahnya) maksudnya di bawah kayu-kayuan dan mahligai-mahligainya (sungai-sungai) maksudnya air yang berada di sungai-sungai itu, karena sungai artinya ialah galian tempat mengalirnya air, sebab airlah yang telah menggali atau menjadikannya 'nahr' dan menisbatkan 'mengalir' pada selokan disebut 'majaz' atau simbolisme. (Setiap mereka diberi rezeki di dalam surga itu) maksudnya diberi makanan (berupa buah-buahan, mereka berkata, ""Inilah yang pernah) maksudnya seperti inilah yang pernah (diberikan kepada kami."")"
2|How many deaths and how many lives do humans have?|And you were dead, and He gave you life, then He will cause you to die, then He will bring you to life again, then you will be returned to Him.|Berapa banyak kematian dan berapa banyak nyawa yang dimiliki manusia?|Setelah itu, Dia menghidupkan kalian lagi untuk hisab dan pemberian siksa kubur. Dan, hanya kepada-Nyalah--bukan kepada yang lain--kalian akan berpulang, agar Dia melakukan hisab dan memberikan ganjaran atas perbuatan kalian.
3|How many heavens are there?|He it is Who created for you all that is in the earth. Then He directed Himself to the heaven, and fashioned it as seven heavens. And He is Knower of all things.|Berapa banyak surga yang ada?|"(Dialah yang telah menciptakan bagimu segala yang terdapat di muka bumi) yaitu menciptakan bumi beserta isinya, (kesemuanya) agar kamu memperoleh manfaat dan mengambil perbandingan darinya, (kemudian Dia hendak menyengaja hendak menciptakan) artinya setelah menciptakan bumi tadi Dia bermaksud hendak menciptakan pula (langit, maka dijadikan-Nya langit itu) 'hunna' sebagai kata ganti benda yang dimaksud adalah langit itu. Maksudnya ialah dijadikan-Nya, sebagaimana didapati pada ayat yang lain, 'faqadhaahunna,' yang berarti maka ditetapkan-Nya mereka, (tujuh langit dan Dia Maha Mengetahui atas segala sesuatu) dikemukakan secara 'mujmal' ringkas atau secara mufasshal terinci, maksudnya, ""Tidakkah Allah yang mampu menciptakan semua itu dari mula pertama, padahal Dia lebih besar dan lebih hebat daripada kamu, akan mampu pula menghidupkan kamu kembali?"""
4|What did Adam (peace be upon him) learn from Allah (glorified and exalted be He), which was not known to the angels?|He taught Adam the names of all things, then He showed them to the angels and said, 'Inform me of the names of these, if you are truthful' (2:31)|Adam tidak pernah disentuh oleh malaikat kecuali oleh Allah yang mempunyai ilmu dan kekuasaan.|"(Dan diajarkan-Nya kepada Adam nama-nama) maksudnya nama-nama benda (kesemuanya) dengan jalan memasukkan ke dalam kalbunya pengetahuan tentang benda-benda itu (kemudian dikemukakan-Nya mereka) maksudnya benda-benda tadi yang ternyata bukan saja benda-benda mati, tetapi juga makhluk-makhluk berakal, (kepada para malaikat, lalu Allah berfirman) untuk memojokkan mereka, (""Beritahukanlah kepadaku) sebutkanlah (nama-nama mereka) yakni nama-nama benda itu (jika kamu memang benar."") bahwa tidak ada yang lebih tahu daripada kamu di antara makhluk-makhluk yang Kuciptakan atau bahwa kamulah yang lebih berhak untuk menjadi khalifah. Sebagai 'jawab syarat' ditunjukkan oleh kalimat sebelumnya."
5|Who are the purified wives?|The wives of the believers will be in Paradise, never experiencing menstruation. The evidence for this is: 'And give good news to those who believe and do righteous deeds that they will have gardens [in Paradise] beneath which rivers flow. Whenever they are provided with a fruit from it as provision, they will say,|Siapakah istri-istri yang suci itu?|"Dan isteri-isteri orang mukmin berada di dalam surga, mereka tidak dapat (dibanding dengan) isteri-isteri mereka itu, dan (dengan orang-orang yang beriman itu) dalam keadaan serupa. Dan berilah kabar gembira kepada orang-orang yang beriman dan mengerjakan amal saleh bahwa bagi mereka disediakan surga yang mengalir sungai-sungai di bawahnya, setiap kali mereka diberi rezeki buah-buahan dari padanya, mereka berkata: ""Salaamun 'alaikum."""
6|Who refused Allah's command to prostrate to Adam (peace be upon him)?|And when We said to the angels, 'Bow down to Adam,' they bowed down, except for Iblis, who refused and was arrogant. He was one of the disbelievers.|(Maka siapakah) Istifham atau kata tanya ini menunjukkan makna negatif, yakni tidak ada seorang pun (yang mendurhakai perintah Allah) yakni menyucikan-Nya dari hal-hal yang tidak layak bagi-Nya (sambil bersujud kepada Adam) lafal ayat ini menjadi Jawab dari lafal lillaahiina.|"Dan (ingatlah) ketika Kami berfirman kepada para malaikat: ""Sujudlah kamu kepada Adam,"" maka sujudlah mereka kecuali Iblis; ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir."
7|What are the Seven Sleepers?|In the name of Allah, the Entirely Merciful, the Especially Merciful. [1] All praise is due to Allah, Lord of the worlds. [2] The Entirely Merciful, the Especially Merciful. [3] Sovereign of the Day of Recompense. [4] You alone we worship, and You alone we ask for help. [5] Guide us to the straight path. [6] The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray. [7] The Fatiha.|Apa itu Seven Sleepers?|(Segala puji bagi Allah Yang Maha Pemurah) yakni Allah swt. (Raja Yang Maha Pemurah) yakni Allah swt. (Yang kami sembah) yakni Allah swt. (dan Engkau beri petunjuk kepada jalan yang lurus) yaitu jalan agama Islam (Engkau beri petunjuk kepada siapa yang Engkau kehendaki dan tidak pula memberi petunjuk kepada orang-orang yang sesat).
8|Who are the 'those upon whom is the anger [of Allah]' and who are the 'those who are astray'?|Cursed are the Jews and the misguided are the Christians|(Dan siapakah) maksudnya tidak ada seorang pun (yang lebih aniaya daripada orang yang membuat kerusakan di muka bumi) dengan kekafiran dan maksiat-maksiat (dan menghalang-halangi) manusia (dari jalan Allah) dari agama-Nya.|(Telah dilaknat orang-orang Yahudi dan orang-orang yang sesat) yaitu orang-orang musyrik (mereka itu orang-orang Nasrani) orang-orang yang menyimpang dari jalan petunjuk.
9|When Allah, the Exalted, created Adam and Eve, what was their dwelling?|And We said, 'O Adam, dwell you and your wife in the Paradise and eat from it a plentifully wherever you wish, but do not approach this tree, lest you be among the wrongdoers.' (2:35)|Ketika Allah, Yang Maha Tinggi, menciptakan Adam dan Hawa, apa yang menjadi tempat tinggal mereka?|"(Dan Kami berfirman, ""Hai Adam! Berdiamlah kamu) yakni kamu sendiri 'kamu' yang kedua berfungsi sebagai penguat bagi yang pertama dan dihubungkan dengannya yang ditampilkan sebagai dhamir atau kata ganti yang tersembunyi (bersama istrimu) yakni Hawa yang diciptakan dari tulang rusuk Adam yang sebelah kiri (dalam surga ini dan makanlah di antara makanan-makanannya) (yang banyak) dan tidak dilarang (di mana saja kamu sukai, tetapi janganlah kamu dekati pohon ini) pohon anggur atau batang gandum ini atau lain-lainnya, maksudnya jangan memakan buahnya (hingga kamu menjadi orang-orang yang lalim."") atau durhaka."
10|What is the thing that Allah (SWT) forbade Adam and Hawwa (Eve) from in Paradise?|And they shall eat of a tree in the Garden, and they shall say, 'We have indeed become the losers.' And Allah will say, 'Do not be lost, for I am with you. I hear and see all.' And the proof is: 'And We said, 'O Adam, dwell you and your wife in the Garden, and eat from it a plentifully, wherever you will, but do not approach this tree, for then you will be of the wrongdoers.' (35) [Al-Baqarah: 35]|(Mengapa Allah mengharamkan Adam dan benda-bendaharanya) yakni apa-apa yang telah Dia karuniakan kepadanya berupa buah-buahan dan lain-lainnya (padahal Dia telah menjadikannya haram) telah dihalalkan bagi Adam dan telah dihalalkan-Nya (dan) Dia telah mengharamkan (atasnya) atas diri-Nya pula (kekuasaan di dalam surga) yaitu nikmat-nikmat-Nya yang telah dihalalkan bagi mereka. (Dan siapa yang menyimpang dari kebenaran) dari ketaatan (maka sesungguhnya Allah Maha Pengampun) terhadapnya (lagi Maha Penyayang) terhadapnya.|"Dan mereka akan memakan pohon zaqqum itu dan mereka akan mengatakan: ""Sesungguhnya kami (benar-benar) adalah orang-orang yang merugi."" Allah berfirman: ""Janganlah kamu berduka cita, sesungguhnya Aku beserta kamu, sesungguhnya Aku beserta kamu berdua termasuk orang-orang yang zalim."""
11|When did the open enmity between humans and the devil begin?|After Adam and Eve descended to Earth after eating from the tree, and the proof of that is: the devil misled them and caused them to fall from it. We said, 'Descend, one of you is an enemy to the other. You will have on Earth a place of settlement and sustenance for a time.' (2:36) The Cow|Kapan permusuhan antara manusia dan setan dimulai?|"Setelah Adam dan Hawa keluar dari surga, Kami berfirman kepada Adam dan Hawa, ""Turunlah kalian, sebagian menjadi musuh bagi yang lain. Di bumi, kalian akan menemukan ketenangan dan kesenangan sampai datangnya waktu yang telah ditentukan untuk kalian."
12|Did Allah (SWT) establish the path for humans since He sent them to Earth, in terms of reward and punishment? Please recall the verses that indicate this.|We said, 'Descend from it all of you, and if guidance comes to you from Me, then whoever follows My guidance, there will be no fear upon them, nor will they grieve.' But those who disbelieved and denied Our signs, they are the companions of the Fire; they will abide therein.|(Maka betapakah) keadaan mereka (jika Allah telah menetapkan kepada manusia) lafal ayat ini berkedudukan menjadi Mubtada (suatu jalan) yakni jalan yang menuju kepada kekuasaan-Nya di dalam penciptaan alam ini (ketika Dia menjadikan mereka di muka bumi) lafal ayat ini menjadi Khabar dari Mubtada (sebagai balasan) lafal ayat ini menjadi Khabar dari Mubtada yang keberadaannya diperkirakan sebelumnya, yaitu lafal ayat ini berkedudukan menjadi Khabar dari Mubtada (dan Dia memberi balasan kepada mereka dengan balasan) lafal ayat ini menjadi Khabar yang kedua, maksudnya niscaya Dia mengazab mereka (dan memberi peringatan) azab-Nya (dengan ayat-ayat-Nya) yang menunjukkan akan kekuasaan-Nya.|"(Kami berfirman, ""Turunlah kalian daripadanya"") maksudnya dari surga (semuanya) diulanginya dan dihubungkan-Nya dengan kalimat yang mula-mula tadi (kemudian jika) asalnya dari 'in maa' yang diidgamkan menjadi 'immaa' yang berarti jika; 'in' huruf syarat dan 'maa' sebagai tambahan. (datang petunjuk-Ku kepada kalian) berupa Kitab dan rasul, (maka barang siapa yang mengikuti petunjuk-Ku) lalu ia beriman kepada-Ku dan beramal serta taat kepada-Ku (niscaya tak ada kekhawatiran atas mereka dan tidak pula mereka berduka cita), yakni di akhirat kelak, karena mereka akan masuk surga."
