idx,question_id,answer_id
0,Apa satu - satunya buku yang bebas dari keraguan atau kekafiran?,"(Kitab ini) yakni yang dibaca oleh Muhammad saw. (adalah ayat-ayat Allah) menjadi Khabar dari Mubtada (yang dijelaskan ayat-ayatnya) maksudnya, dijelaskan di dalamnya hukum-hukum, kisah-kisah dan nasihat-nasihat (tidak ada keraguan) atau keragu-raguan (di dalamnya) tidak ada keragu-raguan (menjadi petunjuk) dari kesesatan (bagi orang-orang yang bertakwa) kepada Allah dengan menjalankan perintah-Nya dan menjauhi larangan-Nya."
1,"(Apakah buah-buahan di surga) maksudnya, buah-buahan di surga (sama dengan buah-buahan di dunia?) sebagaimana buah-buahan di dunia yang telah disebutkan tadi.","(Dan sampaikanlah berita gembira) kabarkanlah (kepada orang-orang yang beriman) yang membenarkan Allah (dan mengerjakan kebaikan), baik yang fardu atau yang sunah (bahwa bagi mereka disediakan surga-surga), yaitu taman-taman yang ada pepohonan dan tempat-tempat kediaman (yang mengalir di bawahnya) maksudnya di bawah kayu-kayuan dan mahligai-mahligainya (sungai-sungai) maksudnya air yang berada di sungai-sungai itu, karena sungai artinya ialah galian tempat mengalirnya air, sebab airlah yang telah menggali atau menjadikannya 'nahr' dan menisbatkan 'mengalir' pada selokan disebut 'majaz' atau simbolisme. (Setiap mereka diberi rezeki di dalam surga itu) maksudnya diberi makanan (berupa buah-buahan, mereka berkata, ""Inilah yang pernah) maksudnya seperti inilah yang pernah (diberikan kepada kami."")"
2,Berapa banyak kematian dan berapa banyak nyawa yang dimiliki manusia?,"Setelah itu, Dia menghidupkan kalian lagi untuk hisab dan pemberian siksa kubur. Dan, hanya kepada-Nyalah--bukan kepada yang lain--kalian akan berpulang, agar Dia melakukan hisab dan memberikan ganjaran atas perbuatan kalian."
3,Berapa banyak surga yang ada?,"(Dialah yang telah menciptakan bagimu segala yang terdapat di muka bumi) yaitu menciptakan bumi beserta isinya, (kesemuanya) agar kamu memperoleh manfaat dan mengambil perbandingan darinya, (kemudian Dia hendak menyengaja hendak menciptakan) artinya setelah menciptakan bumi tadi Dia bermaksud hendak menciptakan pula (langit, maka dijadikan-Nya langit itu) 'hunna' sebagai kata ganti benda yang dimaksud adalah langit itu. Maksudnya ialah dijadikan-Nya, sebagaimana didapati pada ayat yang lain, 'faqadhaahunna,' yang berarti maka ditetapkan-Nya mereka, (tujuh langit dan Dia Maha Mengetahui atas segala sesuatu) dikemukakan secara 'mujmal' ringkas atau secara mufasshal terinci, maksudnya, ""Tidakkah Allah yang mampu menciptakan semua itu dari mula pertama, padahal Dia lebih besar dan lebih hebat daripada kamu, akan mampu pula menghidupkan kamu kembali?"""
4,Adam tidak pernah disentuh oleh malaikat kecuali oleh Allah yang mempunyai ilmu dan kekuasaan.,"(Dan diajarkan-Nya kepada Adam nama-nama) maksudnya nama-nama benda (kesemuanya) dengan jalan memasukkan ke dalam kalbunya pengetahuan tentang benda-benda itu (kemudian dikemukakan-Nya mereka) maksudnya benda-benda tadi yang ternyata bukan saja benda-benda mati, tetapi juga makhluk-makhluk berakal, (kepada para malaikat, lalu Allah berfirman) untuk memojokkan mereka, (""Beritahukanlah kepadaku) sebutkanlah (nama-nama mereka) yakni nama-nama benda itu (jika kamu memang benar."") bahwa tidak ada yang lebih tahu daripada kamu di antara makhluk-makhluk yang Kuciptakan atau bahwa kamulah yang lebih berhak untuk menjadi khalifah. Sebagai 'jawab syarat' ditunjukkan oleh kalimat sebelumnya."
5,Siapakah istri-istri yang suci itu?,"Dan isteri-isteri orang mukmin berada di dalam surga, mereka tidak dapat (dibanding dengan) isteri-isteri mereka itu, dan (dengan orang-orang yang beriman itu) dalam keadaan serupa. Dan berilah kabar gembira kepada orang-orang yang beriman dan mengerjakan amal saleh bahwa bagi mereka disediakan surga yang mengalir sungai-sungai di bawahnya, setiap kali mereka diberi rezeki buah-buahan dari padanya, mereka berkata: ""Salaamun 'alaikum."""
6,"(Maka siapakah) Istifham atau kata tanya ini menunjukkan makna negatif, yakni tidak ada seorang pun (yang mendurhakai perintah Allah) yakni menyucikan-Nya dari hal-hal yang tidak layak bagi-Nya (sambil bersujud kepada Adam) lafal ayat ini menjadi Jawab dari lafal lillaahiina.","Dan (ingatlah) ketika Kami berfirman kepada para malaikat: ""Sujudlah kamu kepada Adam,"" maka sujudlah mereka kecuali Iblis; ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir."
7,Apa itu Seven Sleepers?,(Segala puji bagi Allah Yang Maha Pemurah) yakni Allah swt. (Raja Yang Maha Pemurah) yakni Allah swt. (Yang kami sembah) yakni Allah swt. (dan Engkau beri petunjuk kepada jalan yang lurus) yaitu jalan agama Islam (Engkau beri petunjuk kepada siapa yang Engkau kehendaki dan tidak pula memberi petunjuk kepada orang-orang yang sesat).
8,(Dan siapakah) maksudnya tidak ada seorang pun (yang lebih aniaya daripada orang yang membuat kerusakan di muka bumi) dengan kekafiran dan maksiat-maksiat (dan menghalang-halangi) manusia (dari jalan Allah) dari agama-Nya.,(Telah dilaknat orang-orang Yahudi dan orang-orang yang sesat) yaitu orang-orang musyrik (mereka itu orang-orang Nasrani) orang-orang yang menyimpang dari jalan petunjuk.
9,"Ketika Allah, Yang Maha Tinggi, menciptakan Adam dan Hawa, apa yang menjadi tempat tinggal mereka?","(Dan Kami berfirman, ""Hai Adam! Berdiamlah kamu) yakni kamu sendiri 'kamu' yang kedua berfungsi sebagai penguat bagi yang pertama dan dihubungkan dengannya yang ditampilkan sebagai dhamir atau kata ganti yang tersembunyi (bersama istrimu) yakni Hawa yang diciptakan dari tulang rusuk Adam yang sebelah kiri (dalam surga ini dan makanlah di antara makanan-makanannya) (yang banyak) dan tidak dilarang (di mana saja kamu sukai, tetapi janganlah kamu dekati pohon ini) pohon anggur atau batang gandum ini atau lain-lainnya, maksudnya jangan memakan buahnya (hingga kamu menjadi orang-orang yang lalim."") atau durhaka."
